index,Date,Gender,Age,ImportanceExercise,FitnessLevel,Frequency,Barriers,Activity,DoYouDo,Daytime,Unit,Diet,BarriersDiet,SelfRatingDiet,RecommendedFriend,PurchasedEquipment,Motivation
21,2019/07/04 8:30:50 AM GMT+5:30,Male,19 to 25,4,Good,Never,I don't have enough time;I'll become too tired,Walking or jogging;I don't really exercise,Alone,Evening,I don't really exercise,No,Lack of time,3,Yes,No,I want to be fit
22,2019/07/04 8:31:06 AM GMT+5:30,Male,40 and above,3,Unfit,Never,I don't have enough time;I can't stay motivated,I don't really exercise,Alone,Early morning,I don't really exercise,Yes,Lack of time,2,Yes,Yes,I want to be fit;I want to be flexible;I want to relieve stress
23,2019/07/04 8:32:01 AM GMT+5:30,Male,15 to 18,4,Average,1 to 2 times a week,I can't stay motivated,Walking or jogging;Team sport,Alone,Evening,30 minutes,Not always,Ease of access to fast food,3,No,No,I want to achieve a sporting goal
24,2019/07/04 8:32:19 AM GMT+5:30,Male,19 to 25,3,Average,3 to 4 times a week,I don't really enjoy exercising,Team sport,With a group,Evening,2 hours,Not always,Lack of time,2,No,Yes,I want to relieve stress;I want to achieve a sporting goal
25,2019/07/04 8:34:46 AM GMT+5:30,Female,15 to 18,2,Unfit,2 to 3 times a week,I can't stay motivated,Zumba dance,Alone,Evening,30 minutes,Yes,Lack of time;Temptation and cravings,3,No,Yes,I want to lose weight
26,2019/07/04 8:35:27 AM GMT+5:30,Male,19 to 25,3,Good,1 to 2 times a week,I can't stay motivated,Walking or jogging;I don't really exercise,Alone,Early morning,30 minutes,Yes,Lack of time,4,No,No,I want to be fit;I want to be flexible;I want to relieve stress
27,2019/07/04 8:36:13 AM GMT+5:30,Female,19 to 25,3,Average,1 to 2 times a week,I don't have enough time,Yoga,Alone,Early morning,1 hour,Not always,Temptation and cravings,4,No,No,I want to relieve stress
28,2019/07/04 8:38:45 AM GMT+5:30,Male,15 to 18,4,Good,Everyday,I'll become too tired,Walking or jogging;Gym;Lifting weights;Team sport,With a group,Evening,2 hours,No,Cost;Ease of access to fast food,3,Yes,Yes,I want to be fit;I want to increase muscle mass and strength;I want to relieve stress
29,2019/07/04 8:39:24 AM GMT+5:30,Male,15 to 18,5,Very good,Everyday,I don't have enough time,Walking or jogging;Gym;Lifting weights,With a friend,Evening,1 hour,Not always,Cost,4,Yes,Yes,I want to be fit;I want to increase muscle mass and strength
30,2019/07/04 8:39:48 AM GMT+5:30,Female,19 to 25,4,Good,3 to 4 times a week,I don't have enough time,Yoga,Alone,Early morning,30 minutes,Yes,Temptation and cravings,4,Yes,No,I want to be flexible
31,2019/07/04 8:40:11 AM GMT+5:30,Female,19 to 25,3,Average,1 to 2 times a week,I don't have enough time;I can't stay motivated,Walking or jogging;Yoga,Alone,Early morning,30 minutes,Not always,Temptation and cravings,3,Yes,No,I want to be fit;I want to lose weight
32,2019/07/04 8:40:51 AM GMT+5:30,Female,19 to 25,3,Average,3 to 4 times a week,I can't stay motivated;I'll become too tired,Gym,Alone,Early morning,30 minutes,No,Ease of access to fast food,3,Yes,No,I want to be fit;I want to lose weight
33,2019/07/04 8:41:01 AM GMT+5:30,Male,15 to 18,4,Average,3 to 4 times a week,I don't have enough time;I can't stay motivated;I'll become too tired,Walking or jogging;Gym;Yoga;Lifting weights,With a friend,Evening,2 hours,Not always,Ease of access to fast food;Temptation and cravings,3,No,No,I want to be fit;I want to increase muscle mass and strength;I want to lose weight
34,2019/07/04 8:42:06 AM GMT+5:30,Male,19 to 25,4,Unfit,1 to 2 times a week,I don't have enough time;I can't stay motivated,Yoga,Alone,Early morning,30 minutes,Not always,Ease of access to fast food,3,Yes,Yes,I want to be fit;I want to increase muscle mass and strength
35,2019/07/04 8:42:22 AM GMT+5:30,Male,15 to 18,5,Good,Everyday,I exercise regularly with no barriers,Gym;Swimming,With a friend,Early morning,1 hour,Not always,Cost,3,Yes,No,I want to be fit;Exercising gives you discipline and focus and removed bad thoughts from your mind.
36,2019/07/04 8:42:29 AM GMT+5:30,Female,19 to 25,3,Average,Everyday,I don't have enough time,Gym;Swimming,With a friend,Evening,1 hour,Not always,Temptation and cravings,3,Yes,No,I want to lose weight
37,2019/07/04 8:42:45 AM GMT+5:30,Male,19 to 25,4,Good,2 to 3 times a week,I don't have enough time;I can't stay motivated,Gym,Alone,Early morning,1 hour,Not always,Ease of access to fast food;Temptation and cravings,3,Yes,No,I want to be fit;I want to lose weight;I want to be flexible
38,2019/07/04 8:43:01 AM GMT+5:30,Female,15 to 18,4,Good,Everyday,I don't have enough time;I can't stay motivated;I am not regular in anything,Gym;Team sport,With a group,Early morning,1 hour,No,Ease of access to fast food,2,Yes,No,I want to be fit
39,2019/07/04 8:43:29 AM GMT+5:30,Male,19 to 25,5,Very good,5 to 6 times a week,I don't have enough time;I exercise regularly with no barriers,Gym;Lifting weights;Team sport,Alone,Early morning,1 hour,Yes,Temptation and cravings,4,Yes,Yes,I want to be fit;I want to increase muscle mass and strength;I want to be flexible;I want to relieve stress;I want to achieve a sporting goal
40,2019/07/04 8:44:14 AM GMT+5:30,Female,15 to 18,4,Average,1 to 2 times a week,I can't stay motivated,Walking or jogging,With a group,Afternoon,30 minutes,Not always,Ease of access to fast food;Temptation and cravings,4,No,No,I want to be fit;I want to be flexible
41,2019/07/04 8:45:39 AM GMT+5:30,Male,19 to 25,5,Average,Everyday,I don't have enough time,Gym,With a friend,Evening,2 hours,Not always,Temptation and cravings,3,Yes,Yes,I want to be fit
42,2019/07/04 8:46:11 AM GMT+5:30,Female,19 to 25,4,Unfit,1 to 2 times a week,I don't have enough time,Walking or jogging,Alone,Evening,30 minutes,No,Temptation and cravings,2,Yes,Yes,I want to be fit
43,2019/07/04 8:47:48 AM GMT+5:30,Female,19 to 25,4,Average,1 to 2 times a week,I don't really enjoy exercising,Walking or jogging,Alone,Evening,30 minutes,Not always,Ease of access to fast food,3,Yes,No,I want to be fit;I want to relieve stress
44,2019/07/04 8:49:20 AM GMT+5:30,Female,19 to 25,2,Good,Never,I don't have enough time;I don't really enjoy exercising,I don't really exercise,Alone,Early morning,I don't really exercise,Not always,Ease of access to fast food;Temptation and cravings,3,Yes,Yes,I want to be fit;I want to lose weight
45,2019/07/04 8:50:41 AM GMT+5:30,Male,19 to 25,3,Perfect,2 to 3 times a week,I don't have enough time,Walking or jogging;Swimming;Lifting weights,Alone,Early morning,30 minutes,Yes,Lack of time,4,No,No,I want to be fit
46,2019/07/04 8:51:17 AM GMT+5:30,Female,19 to 25,5,Average,2 to 3 times a week,I can't stay motivated;I'll become too tired,Walking or jogging;Gym;Yoga,Alone,Early morning,1 hour,Not always,Lack of time,3,Yes,Yes,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress
47,2019/07/04 8:51:34 AM GMT+5:30,Male,15 to 18,3,Average,Never,I don't have enough time;I can't stay motivated;I'll become too tired,Walking or jogging;Gym;Lifting weights,With a friend,Early morning,I don't really exercise,Not always,Lack of time;Cost,3,Yes,No,I want to be fit;I want to increase muscle mass and strength;I want to relieve stress
48,2019/07/04 8:51:55 AM GMT+5:30,Female,30 to 40,4,Average,1 to 2 times a week,I can't stay motivated,Walking or jogging;I don't really exercise,I don't really exercise,Evening,30 minutes,Not always,Lack of time,3,Yes,No,I want to lose weight
49,2019/07/04 8:52:30 AM GMT+5:30,Female,19 to 25,4,Good,2 to 3 times a week,I don't have enough time;I can't stay motivated,Walking or jogging;Yoga,Alone,Early morning,30 minutes,Not always,Ease of access to fast food;Temptation and cravings,3,No,Yes,I want to be fit;I want to lose weight;I want to be flexible
50,2019/07/04 8:54:05 AM GMT+5:30,Female,19 to 25,4,Good,1 to 2 times a week,I can't stay motivated,Walking or jogging;Zumba dance;Team sport,With a friend,Evening,30 minutes,Not always,Ease of access to fast food,3,Yes,No,I want to be fit
51,2019/07/04 8:56:12 AM GMT+5:30,Male,19 to 25,4,Average,5 to 6 times a week,I don't have enough time;I can't stay motivated,Walking or jogging;Gym,With a friend,Evening,1 hour,Yes,Ease of access to fast food;Temptation and cravings,2,Yes,No,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to relieve stress
52,2019/07/04 9:00:44 AM GMT+5:30,Female,19 to 25,4,Average,1 to 2 times a week,I don't have enough time,Yoga,Alone,Evening,30 minutes,Not always,Temptation and cravings,4,Yes,Yes,I want to be fit;I want to lose weight;I want to be flexible
53,2019/07/04 9:01:55 AM GMT+5:30,Female,15 to 18,4,Good,2 to 3 times a week,I'll become too tired,Walking or jogging;Zumba dance,With a group,Evening,30 minutes,Yes,Temptation and cravings,4,No,Yes,I want to be fit
54,2019/07/04 9:02:55 AM GMT+5:30,Female,15 to 18,2,Unfit,Never,I don't have enough time;I can't stay motivated;I don't really enjoy exercising,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,Not always,Ease of access to fast food;Temptation and cravings,2,No,No,I'm sorry ... I'm not really interested in exercising
55,2019/07/04 9:11:18 AM GMT+5:30,Male,40 and above,5,Good,3 to 4 times a week,I exercise regularly with no barriers,Walking or jogging,Alone,Evening,30 minutes,Not always,Temptation and cravings,3,Yes,Yes,I want to be fit;I want to lose weight;Control Diabetes 
56,2019/07/04 9:12:34 AM GMT+5:30,Male,19 to 25,3,Good,3 to 4 times a week,I'll become too tired,Gym;Swimming;Lifting weights,With a friend,Early morning,1 hour,Not always,Lack of time;Ease of access to fast food,3,Yes,No,I want to be fit;I want to lose weight;I want to relieve stress
57,2019/07/04 9:12:52 AM GMT+5:30,Female,19 to 25,4,Good,5 to 6 times a week,I am lazy,Team sport,With a group,Early morning,1 hour,Yes,Temptation and cravings,4,Yes,No,I want to be fit;I want to lose weight;I want to be flexible;I want to achieve a sporting goal
58,2019/07/04 9:14:12 AM GMT+5:30,Female,19 to 25,3,Good,1 to 2 times a week,I can't stay motivated,Walking or jogging,Alone,Evening,30 minutes,Not always,Lack of time;Ease of access to fast food;Temptation and cravings,3,Yes,No,I want to be fit;I want to be flexible
59,2019/07/04 9:15:18 AM GMT+5:30,Female,19 to 25,4,Average,2 to 3 times a week,I can't stay motivated,Walking or jogging,Alone,Early morning,30 minutes,Not always,Temptation and cravings,4,Yes,No,I want to be fit;I want to lose weight;I want to be flexible
60,2019/07/04 9:15:41 AM GMT+5:30,Male,15 to 18,4,Good,3 to 4 times a week,I don't have enough time,Walking or jogging;Team sport,With a group,Evening,2 hours,Not always,Temptation and cravings,4,Yes,No,I want to be fit
61,2019/07/04 9:16:17 AM GMT+5:30,Male,19 to 25,2,Unfit,Never,I don't have enough time;I can't stay motivated;I don't really enjoy exercising,Team sport;I don't really exercise,I don't really exercise,Evening,I don't really exercise,Yes,Ease of access to fast food;Temptation and cravings,4,No,No,I want to increase muscle mass and strength;I'm sorry ... I'm not really interested in exercising
62,2019/07/04 9:16:38 AM GMT+5:30,Male,26 to 30,5,Average,Never,I don't have enough time;I can't stay motivated,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,No,Ease of access to fast food;Temptation and cravings,4,No,No,I want to be fit;I want to increase muscle mass and strength;I want to lose weight
63,2019/07/04 9:17:09 AM GMT+5:30,Male,19 to 25,5,Good,Everyday,I have an injury,Team sport,Alone,Early morning,2 hours,Yes,Temptation and cravings,4,Yes,No,I want to be fit;I want to lose weight;I want to relieve stress
64,2019/07/04 9:17:17 AM GMT+5:30,Male,19 to 25,5,Average,Never,I don't have enough time,Walking or jogging,With a friend,Early morning,1 hour,No,Temptation and cravings,4,Yes,No,I want to lose weight
65,2019/07/04 9:18:14 AM GMT+5:30,Female,19 to 25,3,Average,Never,I don't have enough time;I can't stay motivated,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,No,Ease of access to fast food,3,Yes,No,I want to relieve stress
66,2019/07/04 9:20:11 AM GMT+5:30,Female,26 to 30,4,Good,Never,I'll become too tired,Walking or jogging,With a friend,Evening,I don't really exercise,Not always,Temptation and cravings,3,No,No,I want to be flexible
67,2019/07/04 9:21:28 AM GMT+5:30,Female,15 to 18,4,Good,1 to 2 times a week,I don't have enough time;I'll become too tired;I have an injury,Walking or jogging;Gym,Alone,Evening,1 hour,Not always,Temptation and cravings,3,Yes,No,I want to be fit;I want to increase muscle mass and strength;I want to relieve stress
68,2019/07/04 9:21:37 AM GMT+5:30,Female,40 and above,5,Good,2 to 3 times a week,I can't stay motivated,Yoga,Alone,Early morning,30 minutes,Not always,Ease of access to fast food,3,Yes,No,I want to be fit
69,2019/07/04 9:23:26 AM GMT+5:30,Male,19 to 25,5,Good,Everyday,I exercise regularly with no barriers,Team sport,Alone,Early morning,30 minutes,Not always,Ease of access to fast food,4,Yes,No,I want to lose weight
70,2019/07/04 9:25:09 AM GMT+5:30,Female,19 to 25,3,Good,Never,I can't stay motivated;Laziness ,Walking or jogging;I don't really exercise,I don't really exercise,Early morning,I don't really exercise,Not always,Ease of access to fast food;Temptation and cravings,4,No,No,I want to be fit;I want to be flexible;To maintain healthy body and mind
71,2019/07/04 9:25:32 AM GMT+5:30,Female,19 to 25,3,Good,1 to 2 times a week,I can't stay motivated;I'll become too tired,Yoga,Alone,Early morning,30 minutes,Not always,Ease of access to fast food;Temptation and cravings,3,Yes,Yes,I want to be flexible;I want to relieve stress
72,2019/07/04 9:25:45 AM GMT+5:30,Male,40 and above,4,Good,2 to 3 times a week,I don't have enough time,Team sport,With a group,Evening,1 hour,Yes,Cost,4,Yes,Yes,I want to be flexible;I want to relieve stress
73,2019/07/04 9:26:26 AM GMT+5:30,Female,40 and above,3,Average,1 to 2 times a week,I'll become too tired;I have an injury,Walking or jogging,Alone,Early morning,30 minutes,Not always,Temptation and cravings,3,Yes,Yes,I want to lose weight;I want to be flexible
74,2019/07/04 9:26:41 AM GMT+5:30,Female,40 and above,5,Average,Never,I don't really enjoy exercising,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,Not always,Lack of time,3,No,Yes,I'm sorry ... I'm not really interested in exercising
75,2019/07/04 9:27:10 AM GMT+5:30,Male,19 to 25,5,Average,1 to 2 times a week,I don't have enough time;I can't stay motivated,Walking or jogging;Lifting weights,Alone,Evening,30 minutes,No,Ease of access to fast food;Temptation and cravings,3,No,Yes,I want to be fit;I want to increase muscle mass and strength
76,2019/07/04 9:27:50 AM GMT+5:30,Female,30 to 40,5,Average,2 to 3 times a week,I don't have enough time;I'll become too tired,Walking or jogging;Yoga,Within a class environment,Early morning,1 hour,Not always,Temptation and cravings,3,Yes,No,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress
77,2019/07/04 9:28:40 AM GMT+5:30,Female,19 to 25,3,Average,5 to 6 times a week,I can't stay motivated,Yoga,With a friend,Early morning,I don't really exercise,No,Ease of access to fast food;Temptation and cravings,5,Yes,No,I want to be flexible
78,2019/07/04 9:29:06 AM GMT+5:30,Female,19 to 25,4,Good,Everyday,I exercise regularly with no barriers,Walking or jogging;Team sport,Alone,Evening,2 hours,Yes,Temptation and cravings,4,Yes,Yes,I want to be fit
79,2019/07/04 9:29:28 AM GMT+5:30,Male,40 and above,4,Average,3 to 4 times a week,I don't have enough time;I can't stay motivated;I don't really enjoy exercising,Walking or jogging;Gym,Alone,Early morning,30 minutes,Yes,Temptation and cravings,3,Yes,Yes,I want to lose weight
80,2019/07/04 9:29:38 AM GMT+5:30,Male,26 to 30,2,Average,1 to 2 times a week,I don't have enough time;I can't stay motivated,Walking or jogging;Lifting weights,With a friend,Early morning,30 minutes,Not always,Temptation and cravings,3,No,Yes,I want to increase muscle mass and strength;I want to lose weight
81,2019/07/04 9:29:50 AM GMT+5:30,Female,19 to 25,5,Unfit,1 to 2 times a week,I can't stay motivated,Gym,Alone,Early morning,1 hour,Not always,Temptation and cravings,3,Yes,Yes,I want to lose weight
82,2019/07/04 9:30:44 AM GMT+5:30,Male,40 and above,5,Very good,3 to 4 times a week,I exercise regularly with no barriers,Walking or jogging;Gym;Lifting weights,Within a class environment,Evening,2 hours,Yes,Temptation and cravings,4,Yes,Yes,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to be flexible;I want to relieve stress
83,2019/07/04 9:31:00 AM GMT+5:30,Male,40 and above,5,Good,3 to 4 times a week,I don't have enough time;I can't stay motivated,Walking or jogging;Gym,With a friend,Evening,1 hour,Yes,Temptation and cravings,4,No,No,I want to be fit;I want to lose weight
84,2019/07/04 9:31:32 AM GMT+5:30,Female,30 to 40,3,Average,3 to 4 times a week,I don't have enough time,Walking or jogging,Alone,Early morning,30 minutes,Not always,Temptation and cravings,3,Yes,No,I want to lose weight
85,2019/07/04 9:33:00 AM GMT+5:30,Female,19 to 25,3,Average,Never,I can't stay motivated;I don't really enjoy exercising,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,Not always,Temptation and cravings,3,No,No,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I'm sorry ... I'm not really interested in exercising
86,2019/07/04 9:34:55 AM GMT+5:30,Female,30 to 40,4,Average,2 to 3 times a week,I don't have enough time,Walking or jogging,Alone,Early morning,30 minutes,Not always,Lack of time,3,No,No,I want to be fit;I want to lose weight
87,2019/07/04 9:35:22 AM GMT+5:30,Female,40 and above,5,Very good,1 to 2 times a week,I'll become too tired,Walking or jogging,Alone,Evening,30 minutes,Not always,Temptation and cravings,3,Yes,Yes,I want to lose weight
88,2019/07/04 9:36:05 AM GMT+5:30,Male,40 and above,5,Good,3 to 4 times a week,I exercise regularly with no barriers,Walking or jogging;Gym;Lifting weights,With a group,Early morning,1 hour,Not always,Lack of time,4,Yes,Yes,I want to be fit;I want to be flexible;I want to achieve a sporting goal
89,2019/07/04 9:39:37 AM GMT+5:30,Male,40 and above,5,Good,2 to 3 times a week,I don't have enough time,Walking or jogging;Gym,Alone,Early morning,1 hour,Yes,Lack of time,4,Yes,Yes,I want to be fit;I want to be flexible;I want to relieve stress
90,2019/07/04 9:39:57 AM GMT+5:30,Female,40 and above,5,Average,3 to 4 times a week,I have an injury,Walking or jogging,Alone,Early morning,30 minutes,Not always,Temptation and cravings,3,No,No,I want to relieve stress
91,2019/07/04 9:42:49 AM GMT+5:30,Male,40 and above,4,Good,2 to 3 times a week,I'll become too tired,Walking or jogging;Yoga;Team sport,Alone,Early morning,30 minutes,No,Temptation and cravings,4,Yes,Yes,I want to be fit;I want to increase muscle mass and strength;I want to be flexible
92,2019/07/04 9:43:23 AM GMT+5:30,Male,19 to 25,4,Average,2 to 3 times a week,I don't have enough time,Walking or jogging;Gym,Alone,Evening,1 hour,Not always,Lack of time;Cost,2,No,Yes,I want to be fit;I want to lose weight
93,2019/07/04 9:43:56 AM GMT+5:30,Female,19 to 25,4,Unfit,1 to 2 times a week,I don't have enough time,Swimming,Alone,Evening,I don't really exercise,Not always,Lack of time,3,No,Yes,I want to be fit;I want to lose weight;I want to relieve stress
94,2019/07/04 9:45:10 AM GMT+5:30,Female,19 to 25,5,Average,Everyday,I don't have enough time;I'll become too tired,Gym,Alone,Evening,2 hours,No,Lack of time;Ease of access to fast food,3,Yes,Yes,I want to increase muscle mass and strength;I want to lose weight;I want to relieve stress
95,2019/07/04 9:45:24 AM GMT+5:30,Female,40 and above,5,Good,Never,I don't have enough time,I don't really exercise,I don't really exercise,Evening,I don't really exercise,Yes,Temptation and cravings,3,Yes,Yes,I want to lose weight;I want to relieve stress
96,2019/07/04 9:49:05 AM GMT+5:30,Male,40 and above,4,Very good,5 to 6 times a week,I exercise regularly with no barriers,Walking or jogging,Alone,Early morning,1 hour,Not always,Ease of access to fast food,3,No,Yes,I want to be fit
97,2019/07/04 9:52:32 AM GMT+5:30,Female,19 to 25,5,Good,3 to 4 times a week,I can't stay motivated,Walking or jogging;Yoga,Alone,Early morning,30 minutes,Not always,Temptation and cravings,4,Yes,No,I want to be fit;I want to be flexible
98,2019/07/04 9:53:28 AM GMT+5:30,Male,26 to 30,5,Good,2 to 3 times a week,I don't have enough time;I can't stay motivated,Gym;Lifting weights,Within a class environment,Early morning,1 hour,Not always,Cost,4,Yes,No,I want to be fit;I want to lose weight
99,2019/07/04 9:54:14 AM GMT+5:30,Male,15 to 18,5,Average,1 to 2 times a week,I don't have enough time;I can't stay motivated,Walking or jogging;Gym;Swimming,With a group,Early morning,1 hour,Not always,Temptation and cravings,2,Yes,No,I want to be fit;I want to lose weight
100,2019/07/04 9:55:39 AM GMT+5:30,Male,19 to 25,3,Average,5 to 6 times a week,I don't have enough time,Gym,Alone,Evening,1 hour,No,Lack of time,4,Yes,Yes,I want to be fit;I want to increase muscle mass and strength
101,2019/07/04 9:57:28 AM GMT+5:30,Female,40 and above,4,Good,Everyday,I exercise regularly with no barriers,Yoga,Alone,Early morning,30 minutes,Not always,Lack of time,4,Yes,No,I want to be flexible
102,2019/07/04 9:57:50 AM GMT+5:30,Male,19 to 25,5,Very good,2 to 3 times a week,I don't have enough time;I can't stay motivated,Walking or jogging;Gym;Team sport,Alone,Evening,1 hour,Not always,Temptation and cravings,4,Yes,Yes,I want to be fit;I want to increase muscle mass and strength
103,2019/07/04 9:58:31 AM GMT+5:30,Male,15 to 18,5,Very good,Everyday,I exercise regularly with no barriers,Team sport,With a group,Early morning,2 hours,Not always,Temptation and cravings,4,Yes,No,I want to achieve a sporting goal
104,2019/07/04 10:02:54 AM GMT+5:30,Male,19 to 25,4,Good,3 to 4 times a week,I'll become too tired,Walking or jogging,With a group,Evening,1 hour,Yes,Temptation and cravings,4,No,No,I want to be fit
105,2019/07/04 10:03:13 AM GMT+5:30,Female,15 to 18,4,Average,Everyday,I can't stay motivated,Yoga,Alone,Early morning,30 minutes,No,Temptation and cravings,3,Yes,No,I want to be fit;I want to be flexible;I want to relieve stress
106,2019/07/04 10:11:34 AM GMT+5:30,Female,19 to 25,3,Good,1 to 2 times a week,I don't have enough time;I don't really enjoy exercising,Walking or jogging;Yoga,Alone,Early morning,30 minutes,Not always,Ease of access to fast food,3,No,Yes,I want to be fit;I want to lose weight
