epi_week,country,state,loc,loc_type,disease, event,number,from_date,to_date,url
188836,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,1,1888-09-02,1888-09-08,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084181
188836,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,7,1888-09-02,1888-09-08,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084181
188837,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,11,1888-09-11,1888-09-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084182
188837,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,1,1888-09-11,1888-09-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084182
188837,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,4,1888-09-11,1888-09-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084182
188837,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,4,1888-09-11,1888-09-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084182
188838,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1888-09-16,1888-09-22,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084183
188838,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,2,1888-09-16,1888-09-22,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084183
188838,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,6,1888-09-16,1888-09-22,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084183
188839,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,7,1888-09-23,1888-09-29,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084187
188839,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,2,1888-09-23,1888-09-29,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084187
188839,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,4,1888-09-23,1888-09-29,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084187
188840,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1888-09-30,1888-10-06,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084187
188840,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,1,1888-09-30,1888-10-06,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084187
188840,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,5,1888-09-30,1888-10-06,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084187
188841,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,9,1888-10-07,1888-10-13,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084185
188841,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,2,1888-10-07,1888-10-13,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084185
188841,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,4,1888-10-07,1888-10-13,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084185
188842,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,9,1888-10-14,1888-10-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084188
188842,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,2,1888-10-14,1888-10-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084188
188842,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,3,1888-10-14,1888-10-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084188
188843,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,11,1888-10-21,1888-10-27,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084188
188843,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,2,1888-10-21,1888-10-27,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084188
188843,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,2,1888-10-21,1888-10-27,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084188
188907,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1889-02-10,1889-02-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991632
188907,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,1,1889-02-10,1889-02-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991632
188907,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,1,1889-02-10,1889-02-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991632
188907,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,2,1889-02-10,1889-02-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991632
188908,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1889-02-17,1889-02-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991633
188908,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,1,1889-02-17,1889-02-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991633
188908,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,2,1889-02-17,1889-02-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991633
188908,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,3,1889-02-17,1889-02-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991633
188909,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1889-02-27,1889-03-05,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991634
188909,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,1,1889-02-27,1889-03-05,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991634
188909,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,3,1889-02-27,1889-03-05,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991634
188909,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,2,1889-02-27,1889-03-05,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991634
188910,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1889-03-03,1889-03-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991637
188910,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,2,1889-03-03,1889-03-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991637
188911,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,1,1889-03-10,1889-03-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991668
188911,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,4,1889-03-10,1889-03-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991668
188912,US,DC,WASHINGTON,CITY,CHICKENPOX [VARICELLA],DEATHS,1,1889-03-17,1889-03-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991635
188912,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1889-03-17,1889-03-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991635
188912,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,1,1889-03-17,1889-03-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991635
188912,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,2,1889-03-17,1889-03-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991635
188913,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,3,1889-03-24,1889-03-30,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991663
188913,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,2,1889-03-24,1889-03-30,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991663
188914,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1889-03-31,1889-04-06,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991663
188914,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,3,1889-03-31,1889-04-06,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991663
188914,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,3,1889-03-31,1889-04-06,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991663
188915,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1889-04-10,1889-04-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991664
188915,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,4,1889-04-10,1889-04-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991664
188916,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1889-04-14,1889-04-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991665
188916,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,1,1889-04-14,1889-04-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991665
188916,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,4,1889-04-14,1889-04-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991665
188916,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,2,1889-04-14,1889-04-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991665
188917,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1889-04-21,1889-04-27,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991666
188917,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,4,1889-04-21,1889-04-27,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991666
188917,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,1,1889-04-21,1889-04-27,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991666
188918,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1889-04-28,1889-05-04,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991671
188918,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,1,1889-04-28,1889-05-04,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991671
188918,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,1,1889-04-28,1889-05-04,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991671
188918,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-04-28,1889-05-04,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991671
188919,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,1,1889-05-05,1889-05-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991671
188919,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,2,1889-05-05,1889-05-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991671
188920,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1889-05-12,1889-05-18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991673
188920,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,2,1889-05-12,1889-05-18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991673
188920,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,1,1889-05-12,1889-05-18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991673
188920,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-05-12,1889-05-18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991673
188921,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,2,1889-05-19,1889-05-25,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991675
188921,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-05-19,1889-05-25,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991675
188922,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,3,1889-05-26,1889-06-01,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991677
188922,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,1,1889-05-26,1889-06-01,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991677
188922,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,1,1889-05-26,1889-06-01,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991677
188922,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-05-26,1889-06-01,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991677
188923,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1889-06-02,1889-06-08,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991679
188923,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,2,1889-06-02,1889-06-08,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991679
188923,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,3,1889-06-02,1889-06-08,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991679
188924,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-06-09,1889-06-15,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991681
188925,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1889-06-16,1889-06-22,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991683
188925,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,2,1889-06-16,1889-06-22,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991683
188925,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,2,1889-06-16,1889-06-22,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991683
188925,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-06-16,1889-06-22,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991683
188926,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1889-06-23,1889-06-29,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991685
188926,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,2,1889-06-23,1889-06-29,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991685
188926,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-06-23,1889-06-29,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991685
188927,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1889-06-30,1889-07-06,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991690
188927,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,1,1889-06-30,1889-07-06,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991690
188927,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-06-30,1889-07-06,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991690
188928,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1889-07-07,1889-07-13,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991691
188928,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,3,1889-07-07,1889-07-13,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991691
188928,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-07-07,1889-07-13,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991691
188929,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,8,1889-07-14,1889-07-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991693
188929,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,4,1889-07-14,1889-07-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991693
188929,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,3,1889-07-14,1889-07-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991693
188931,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1889-07-28,1889-08-03,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991697
188931,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,3,1889-07-28,1889-08-03,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991697
188931,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,2,1889-07-28,1889-08-03,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991697
188932,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1889-08-04,1889-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991695
188932,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,7,1889-08-04,1889-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991695
188937,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,6,1889-09-08,1889-09-14,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991737
188937,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,9,1889-09-08,1889-09-14,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991737
188938,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,8,1889-09-15,1889-09-21,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991743
188938,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,4,1889-09-15,1889-09-21,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991743
188938,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-09-15,1889-09-21,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991743
188939,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,6,1889-09-22,1889-09-28,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991748
188939,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,7,1889-09-22,1889-09-28,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991748
188939,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-09-22,1889-09-28,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991748
188940,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,6,1889-09-29,1889-10-05,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991748
188940,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,6,1889-09-29,1889-10-05,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991748
188941,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,5,1889-10-06,1889-10-12,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991750
188941,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,8,1889-10-06,1889-10-12,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991750
188942,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1889-10-13,1889-10-19,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991755
188942,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,5,1889-10-13,1889-10-19,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991755
188942,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,2,1889-10-13,1889-10-19,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991755
188943,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,3,1889-10-20,1889-10-26,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991790
188943,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,5,1889-10-20,1889-10-26,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991790
188944,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1889-10-27,1889-11-02,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991790
188944,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,1,1889-10-27,1889-11-02,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991790
188945,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,3,1889-11-03,1889-11-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991793
188945,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,3,1889-11-03,1889-11-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991793
188945,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-11-03,1889-11-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991793
188946,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,5,1889-11-10,1889-11-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991796
188946,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,4,1889-11-10,1889-11-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991796
188947,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,5,1889-11-17,1889-11-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991798
188947,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,6,1889-11-17,1889-11-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991798
188947,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-11-17,1889-11-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991798
188948,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,6,1889-11-24,1889-11-30,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991798
188948,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,3,1889-11-24,1889-11-30,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991798
188949,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,11,1889-12-01,1889-12-07,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991801
188949,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,4,1889-12-01,1889-12-07,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991801
188950,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1889-12-08,1889-12-14,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991801
188950,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,2,1889-12-08,1889-12-14,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991801
188950,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1889-12-08,1889-12-14,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991801
